Sorted by Name
Japanese Chin,4kg
Japanese Terrier,4kg
Maltese,4kg
Miniature Pinscher,4kg
Papillon,4kg
Poodle (Toy),4kg
Biewer Terrier,3kg
Chihuahua,3kg
Russian Toy,3kg
Toy Fox Terrier,3kg
Yorkshire Terrier,3kg
